"sheet_name","Study_ID","DOI","F_Author","Year","Compound","Species","Route","Suject_ID","Condition","Dosing","Dose_Unit","Repeat Dose","Compartments","Time","Time_Unit","Mean","Concentration_Mean","Concentration_Error","Concentration_Unit"
2,3,"10.1002/adhm.202402113","Bahnick AJ",2024,"DEX","Mouse","IV",1300,"Healthy",0.5,"mg/kg","Single","Plasma",2,"h","Yes",0.0212,0,"ug/ml"
2,3,"10.1002/adhm.202402113","Bahnick AJ",2024,"DEX","Mouse","IV",1300,"Healthy",0.5,"mg/kg","Single","Plasma",4,"h","Yes",0.0131,0,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1070,"Healthy",1,"mg/kg","Single","Plasma",0.08,"h","Yes",0.0577,0.0577,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1070,"Healthy",1,"mg/kg","Single","Plasma",0.16,"h","Yes",0.0518,0.0518,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1700,"Healthy",1,"mg/kg","Single","Plasma",0.5,"h","Yes",0.038,0.038,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1700,"Healthy",1,"mg/kg","Single","Plasma",1,"h","Yes",0.0276,0.0276,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1700,"Healthy",1,"mg/kg","Single","Plasma",2,"h","Yes",0.02,0.02,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1700,"Healthy",1,"mg/kg","Single","Plasma",6,"h","Yes",0.0013,0.0013,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1711,"Healthy",1,"mg/kg","Single","Liver",4,"h","Yes",0.2294,2e-04,"ug/ml"
6,7,"10.1021/acs.molpharmaceut.4c00954","Wu X",2025,"DEX","Mouse","IV",1714,"Healthy",1,"mg/kg","Single","Kidney",4,"h","Yes",0.0196,0,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",0.08,"h","Yes",4.5333,4.5333,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",0.25,"h","Yes",3.871,3.871,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",0.5,"h","Yes",3.0667,3.0667,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",1,"h","Yes",2.6667,2.6667,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",2,"h","Yes",2.0968,2.0968,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",4,"h","Yes",1.6935,1.6935,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",6,"h","Yes",1.0667,1.0667,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",8,"h","Yes",0.9333,0.9333,"ug/ml"
8,9,"10.2147/IJN.S442369","Dong K",2024,"Dexamethasone sodium phosphate","Mouse","IV",1900,"Healthy",4.5581,"mg/kg","Single","Plasma",12,"h","Yes",0.6,0.6,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",0.08,"h","Yes",67.525,67.525,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",0.25,"h","Yes",64.0541,64.0541,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",0.5,"h","Yes",63.1075,63.1075,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",1,"h","Yes",32.5003,32.5003,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",2,"h","Yes",18.3012,18.3012,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",4,"h","Yes",4.4175,4.4175,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",6,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",8,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",10,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1101,"Healthy",9.0323,"mg/kg","Single","Liver",12,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",0.08,"h","Yes",20.8255,20.8255,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",0.25,"h","Yes",17.9857,17.9857,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",0.5,"h","Yes",12.937,12.937,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",1,"h","Yes",3.1553,3.1553,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",2,"h","Yes",3.7864,3.7864,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",4,"h","Yes",1.2622,1.2622,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",6,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",8,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",10,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1104,"Healthy",9.0323,"mg/kg","Single","Kidney",12,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",0.08,"h","Yes",32.5003,32.5003,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",0.25,"h","Yes",32.8159,32.8159,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",0.5,"h","Yes",21.141,21.141,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",1,"h","Yes",19.8788,19.8788,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",2,"h","Yes",15.1458,15.1458,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",4,"h","Yes",2.8398,2.8398,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",6,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",8,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",10,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1105,"Healthy",9.0323,"mg/kg","Single","Plasma",12,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1106,"Healthy",9.0323,"mg/kg","Single","Brain",0.08,"h","Yes",5.3642,5.3642,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1106,"Healthy",9.0323,"mg/kg","Single","Brain",0.25,"h","Yes",5.6797,5.6797,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1106,"Healthy",9.0323,"mg/kg","Single","Brain",0.5,"h","Yes",4.7331,4.7331,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1106,"Healthy",9.0323,"mg/kg","Single","Brain",1,"h","Yes",1.5786,1.5786,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1106,"Healthy",9.0323,"mg/kg","Single","Brain",2,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1106,"Healthy",9.0323,"mg/kg","Single","Brain",4,"h","Yes",0,0,"ug/ml"
9,10,"10.2147/ijn.s10393","Wang MT",2010,"Dexamethasone acetate","Mouse","IV",1106,"Healthy",9.0323,"mg/kg","Single","Brain",6,"h","Yes",0,0,"ug/ml"
