"sheet_name","Study_ID","DOI","F_Author","Year","Compound","Species","Route","Suject_ID","Condition","Dosing","Dose_Unit","Repeat Dose","Compartments","Time","Time_Unit","Mean","Concentration_Mean","Concentration_Error","Concentration_Unit"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",0.08,"h","Yes",11.0628,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",0.25,"h","Yes",8.0551,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",0.5,"h","Yes",7.452,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",1,"h","Yes",6.0052,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",2,"h","Yes",5.0357,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",4,"h","Yes",3.9383,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",6,"h","Yes",2.841,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",8,"h","Yes",1.8639,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Plasma",10,"h","Yes",0.1653,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Lung",0.25,"h","Yes",4.3285,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Lung",0.5,"h","Yes",19.7177,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Lung",1,"h","Yes",9.9736,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Lung",2,"h","Yes",8.4027,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Lung",4,"h","Yes",4.2993,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Lung",6,"h","Yes",2.7207,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Liver",0.08,"h","Yes",14.1892,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Liver",0.25,"h","Yes",14.7894,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Liver",0.5,"h","Yes",13.8252,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Liver",1,"h","Yes",12.0175,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Liver",2,"h","Yes",11.7698,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Liver",6,"h","Yes",5.126,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Brain",0.08,"h","Yes",1.3583,NA,"ug/ml"
3,3,"https://doi.org/10.3109/10717544.2011.589087","Xu et al",2011,"Dexamethasone_acetate_DA","Mouse","IV",1006,"Healthy",6.3226,"mg/kg","Single","Brain",0.25,"h","Yes",1.1535,NA,"ug/ml"
