"sheet_name","Study_ID","DOI","F_Author","Year","Compound","Species","Route","Suject_ID","Condition","Dosing","Dose_Unit","Repeat.Dose","Compartments","Time","Time_Unit","Mean","Concentration_Mean","Concentration_Error","Concentration_Unit"
6,6,"https://doi.org/10.1016/j.ijpharm.2018.02.001","Jia et al",2018,"DEX","Rat","IV",1011,"Healthy",1,"mg/kg","Single","Plasma",0.1,"h","Yes",1.9719,0.1912,"ug/ml"
6,6,"https://doi.org/10.1016/j.ijpharm.2018.02.001","Jia et al",2018,"DEX","Rat","IV",1011,"Healthy",1,"mg/kg","Single","Plasma",0.25,"h","Yes",1.625,0.1016,"ug/ml"
6,6,"https://doi.org/10.1016/j.ijpharm.2018.02.001","Jia et al",2018,"DEX","Rat","IV",1011,"Healthy",1,"mg/kg","Single","Plasma",0.5,"h","Yes",1.3855,0.1375,"ug/ml"
6,6,"https://doi.org/10.1016/j.ijpharm.2018.02.001","Jia et al",2018,"DEX","Rat","IV",1011,"Healthy",1,"mg/kg","Single","Plasma",1,"h","Yes",0.9303,0.3705,"ug/ml"
6,6,"https://doi.org/10.1016/j.ijpharm.2018.02.001","Jia et al",2018,"DEX","Rat","IV",1011,"Healthy",1,"mg/kg","Single","Plasma",2,"h","Yes",0.5817,0.2211,"ug/ml"
6,6,"https://doi.org/10.1016/j.ijpharm.2018.02.001","Jia et al",2018,"DEX","Rat","IV",1011,"Healthy",1,"mg/kg","Single","Plasma",4,"h","Yes",0.359,0.08,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Plasma",0.5,"h","Yes",2.4738,0.2492,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Plasma",1,"h","Yes",1.8738,0.1938,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Plasma",3,"h","Yes",1.3108,0.1477,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Plasma",6,"h","Yes",0.8215,0.0923,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Plasma",12,"h","Yes",0.6738,0.0646,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Plasma",24,"h","Yes",0.1754,0.0277,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Liver",0.5,"h","Yes",0.5446,0.0646,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Liver",1,"h","Yes",0.6462,0.0738,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Liver",3,"h","Yes",0.4246,0.0462,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Liver",6,"h","Yes",0.3785,0.0462,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Liver",12,"h","Yes",0.3785,0.0462,"ug/ml"
10,10,"https://doi.org/10.3390/pharmaceutics13091347","Kotta et al",2021,"DEX","Rat","IV",1042,"Healthy",10,"mg/kg","Single","Liver",24,"h","Yes",0.2123,0.0369,"ug/ml"
