sheet_name,Study_ID,DOI,F_Author,Year,Compound,Species,Route,Suject_ID,Condition,Dosing,Dose_Unit,Repeat Dose,Compartments,Time,Time_Unit,Mean,Concentration_Mean,Concentration_Error,Concentration_Unit
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,0.08,h,Yes,2.754,0.0739,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,0.25,h,Yes,2.257,0.0771,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,0.5,h,Yes,1.794,0.093,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,2,h,Yes,0.809,0.0182,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,4,h,Yes,0.351,0.0165,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,8,h,Yes,0.119,0.0102,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,10,h,Yes,0.0632,0.0041,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Plasma,24,h,Yes,0.001,1e-04,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Brain,0.08,h,Yes,0.11,0.015,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Brain,0.25,h,Yes,0.0998,0.0057,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Brain,0.5,h,Yes,0.084,0.0082,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Brain,2,h,Yes,0.0676,0.0044,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Brain,4,h,Yes,0.0376,0.0023,ug/ml
1,1,https://doi.org/10.1002/bmc.6059,Bestha et al.,2024,Dexamethasone,Rat,IV,1111,Healthy,2,mg/kg,Single,Brain,8,h,Yes,0.0115,0.0018,ug/ml
