Time,Propotion,Device,Organ
24,0.736108322,30-day in vitro release,Brain
48,0.794438224,30-day in vitro release,Brain
72,0.80684458,30-day in vitro release,Brain
96,0.853927263,30-day in vitro release,Brain
120,0.868411145,30-day in vitro release,Brain
144,0.880453355,30-day in vitro release,Brain
168,0.889668345,30-day in vitro release,Brain
192,0.891913199,30-day in vitro release,Brain
216,0.893594339,30-day in vitro release,Brain
240,0.895208109,30-day in vitro release,Brain
264,0.896255161,30-day in vitro release,Brain
288,0.898075901,30-day in vitro release,Brain
312,0.900602987,30-day in vitro release,Brain
336,0.902046533,30-day in vitro release,Brain
360,0.903393893,30-day in vitro release,Brain
384,0.913532741,30-day in vitro release,Brain
408,0.919628432,30-day in vitro release,Brain
432,0.929720805,30-day in vitro release,Brain
456,0.935531686,30-day in vitro release,Brain
480,0.941009524,30-day in vitro release,Brain
504,0.952071314,30-day in vitro release,Brain
528,0.960021182,30-day in vitro release,Brain
552,0.967586357,30-day in vitro release,Brain
576,0.970939191,30-day in vitro release,Brain
600,0.976465266,30-day in vitro release,Brain
624,0.98023239,30-day in vitro release,Brain
648,0.985239833,30-day in vitro release,Brain
672,0.990011972,30-day in vitro release,Brain
696,0.995609601,30-day in vitro release,Brain
24,0.265915752,60-day in vitro release,Kidney
48,0.440723953,60-day in vitro release,Kidney
72,0.57470483,60-day in vitro release,Kidney
96,0.68684792,60-day in vitro release,Kidney
120,0.770298169,60-day in vitro release,Kidney
144,0.837895242,60-day in vitro release,Kidney
168,0.887598928,60-day in vitro release,Kidney
192,0.903092988,60-day in vitro release,Kidney
216,0.916822952,60-day in vitro release,Kidney
240,0.927825487,60-day in vitro release,Kidney
264,0.9369979,60-day in vitro release,Kidney
288,0.940994161,60-day in vitro release,Kidney
312,0.948489042,60-day in vitro release,Kidney
336,0.955717537,60-day in vitro release,Kidney
360,0.961655049,60-day in vitro release,Kidney
384,0.968092046,60-day in vitro release,Kidney
408,0.974117729,60-day in vitro release,Kidney
480,0.980843298,60-day in vitro release,Kidney
720,0.98719918,60-day in vitro release,Kidney
960,0.993194308,60-day in vitro release,Kidney
24,0.256018926,60-day in vitro release,Brain
48,0.42831943,60-day in vitro release,Brain
72,0.55760503,60-day in vitro release,Brain
96,0.669157145,60-day in vitro release,Brain
120,0.748345516,60-day in vitro release,Brain
144,0.81252236,60-day in vitro release,Brain
168,0.848686104,60-day in vitro release,Brain
192,0.862648684,60-day in vitro release,Brain
216,0.876341213,60-day in vitro release,Brain
240,0.884675593,60-day in vitro release,Brain
264,0.888234471,60-day in vitro release,Brain
288,0.889866894,60-day in vitro release,Brain
312,0.897383069,60-day in vitro release,Brain
336,0.904608711,60-day in vitro release,Brain
360,0.910645109,60-day in vitro release,Brain
384,0.917173326,60-day in vitro release,Brain
408,0.922001024,60-day in vitro release,Brain
480,0.928729591,60-day in vitro release,Brain
720,0.934934107,60-day in vitro release,Brain
960,0.935907756,60-day in vitro release,Brain
1200,0.941562269,60-day in vitro release,Brain
1440,0.941562269,60-day in vitro release,Brain
